true_label,pred_label,count
barely-true,half-true,71
mostly-true,half-true,71
half-true,false,69
barely-true,false,61
false,half-true,55
half-true,mostly-true,54
mostly-true,true,46
false,mostly-true,44
true,half-true,43
mostly-true,false,43
false,barely-true,42
true,mostly-true,42
barely-true,mostly-true,37
half-true,barely-true,35
false,true,35
pants-fire,false,35
barely-true,true,34
true,false,32
half-true,true,30
pants-fire,barely-true,30
mostly-true,barely-true,28
pants-fire,half-true,18
pants-fire,true,16
true,barely-true,13
pants-fire,mostly-true,11
false,pants-fire,6
barely-true,pants-fire,3
half-true,pants-fire,2
mostly-true,pants-fire,1
true,pants-fire,1
